class x string	slot x string	description: 0..1 (recommended)	from_schema: 0..1 x uri	range: 0..1 x element	multivalued: 0..1 x boolean	domain: 0..1 x class_definition	mixins: 0..* x definition	is_a: 0..1 x definition	required: 0..1 x boolean	comments: 0..*	aliases: 0..* x string	see_also: 0..* x uriorcurie	in_subset: 0..* x subset_definition	slot_uri: 0..1 x uriorcurie	todos: 0..* x string	examples: 0..* x example	id_prefixes: 0..* x ncname	source: 0..1 x uriorcurie	broad_mappings: 0..* x uriorcurie	inlined_as_list: 0..1 x boolean	exact_mappings: 0..* x uriorcurie
	biotic_regm	Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi.	https://microbiomedata/schema/mixs	text value	False			attribute			biotic regimen	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001038		sample inoculated with Rhizobium spp. Culture		http://w3id.org/mixs/terms			
	biotic_relationship	Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object	https://microbiomedata/schema/mixs	text value	False			attribute			observed biotic relationship	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000028		free living		http://w3id.org/mixs/terms			
	bishomohopanol	Concentration of bishomohopanol	https://microbiomedata/schema/mixs	quantity value	False			attribute			bishomohopanol	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000175		14 microgram per liter		http://w3id.org/mixs/terms			
	bromide	Concentration of bromide	https://microbiomedata/schema/mixs	quantity value	False			attribute			bromide	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000176		0.05 parts per million		http://w3id.org/mixs/terms			
	calcium	Concentration of calcium in the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			calcium	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000432		0.2 micromole per liter		http://w3id.org/mixs/terms			
	carb_nitro_ratio	Ratio of amount or concentrations of carbon to nitrogen	https://microbiomedata/schema/mixs	quantity value	False			attribute			carbon/nitrogen ratio	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000310		0.417361111		http://w3id.org/mixs/terms			
	chem_administration	List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	https://microbiomedata/schema/mixs	controlled term value	False			attribute			chemical administration	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000751		agar [CHEBI:2509];2018-05-11T20:00Z		http://w3id.org/mixs/terms			
	chloride	Concentration of chloride in the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			chloride	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000429		5000 milligram per liter		http://w3id.org/mixs/terms			
	chlorophyll	Concentration of chlorophyll	https://microbiomedata/schema/mixs	quantity value	False			attribute			chlorophyll	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000177		5 milligram per cubic meter		http://w3id.org/mixs/terms			
	climate_environment	Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates	https://microbiomedata/schema/mixs	text value	False			attribute			climate environment	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001040		tropical climate;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M		http://w3id.org/mixs/terms			
	collection_date	The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	https://microbiomedata/schema/mixs	timestamp value	False			attribute			collection date	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000011		2018-05-11T10:00:00+01:00; 2018-05-11		http://w3id.org/mixs/terms			
	collection_date_inc	Date the incubation was harvested/collected/ended. Only relevant for incubation samples.	https://microbiomedata/schema/mixs_inspired							Date should be formatted as YYYY(-MM(-DD)). Ie, 2021-04-15, 2021-04 and 2021 are all acceptable.		MIxS:collection_date				2021-04-15, 2021-04 and 2021 are all acceptable.					
	collection_time	The time of sampling, either as an instance (single point) or interval.	https://microbiomedata/schema/mixs_inspired							Time should be entered as HH:MM(:SS) in GMT. See here for a converter: https://www.worldtimebuddy.com/pst-to-gmt-converter		MIxS:collection_date				13:33 or 13:33:55					
	collection_time_inc	Time the incubation was harvested/collected/ended. Only relevant for incubation samples.	https://microbiomedata/schema/mixs_inspired							Time should be entered as HH:MM(:SS) in GMT. See here for a converter: https://www.worldtimebuddy.com/pst-to-gmt-converter		MIxS:collection_date				13:33 or 13:33:55					
	community		https://microbiomedata/schema	string																	
	crop_rotation	Whether or not crop is rotated, and if yes, rotation schedule	https://microbiomedata/schema/mixs	text value	False			attribute			history/crop rotation	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000318		yes;R2/2017-01-01/2018-12-31/P6M		http://w3id.org/mixs/terms			
	cur_land_use	Present state of sample site	https://microbiomedata/schema/mixs	text value	False			attribute			current land use	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001080		conifers		http://w3id.org/mixs/terms			
	cur_vegetation	Vegetation classification from one or more standard classification systems, or agricultural crop	https://microbiomedata/schema/mixs	text value	False			attribute			current vegetation	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000312				http://w3id.org/mixs/terms			
	cur_vegetation_meth	Reference or method used in vegetation classification	https://microbiomedata/schema/mixs	text value	False			attribute			current vegetation method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000314				http://w3id.org/mixs/terms			
	density	Density of the sample, which is its mass per unit volume (aka volumetric mass density)	https://microbiomedata/schema/mixs	quantity value	False			attribute			density	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000435		1000 kilogram per cubic meter		http://w3id.org/mixs/terms			
	depth	The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	https://microbiomedata/schema/mixs	quantity value	False			attribute			depth	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000018		10 meter		http://w3id.org/mixs/terms			
	depth2		https://microbiomedata/schema	quantity value																	
	description	a human-readable description of a thing	https://microbiomedata/schema/basic_slots	string	False									dcterms:description							
study	description																				
	diss_carb_dioxide	Concentration of dissolved carbon dioxide in the sample or liquid portion of the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			dissolved carbon dioxide	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000436		5 milligram per liter		http://w3id.org/mixs/terms			
	diss_hydrogen	Concentration of dissolved hydrogen	https://microbiomedata/schema/mixs	quantity value	False			attribute			dissolved hydrogen	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000179		0.3 micromole per liter		http://w3id.org/mixs/terms			
	diss_inorg_carb	Dissolved inorganic carbon concentration in the sample, typically measured after filtering the sample using a 0.45 micrometer filter	https://microbiomedata/schema/mixs	quantity value	False			attribute			dissolved inorganic carbon	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000434		2059 micromole per kilogram		http://w3id.org/mixs/terms			
	diss_inorg_phosp	Concentration of dissolved inorganic phosphorus in the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			dissolved inorganic phosphorus	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000106		56.5 micromole per liter		http://w3id.org/mixs/terms			
	diss_org_carb	Concentration of dissolved organic carbon in the sample, liquid portion of the sample, or aqueous phase of the fluid	https://microbiomedata/schema/mixs	quantity value	False			attribute			dissolved organic carbon	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000433		197 micromole per liter		http://w3id.org/mixs/terms			
	diss_org_nitro	Dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	https://microbiomedata/schema/mixs	quantity value	False			attribute			dissolved organic nitrogen	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000162		0.05 micromole per liter		http://w3id.org/mixs/terms			
	diss_oxygen	Concentration of dissolved oxygen	https://microbiomedata/schema/mixs	quantity value	False			attribute			dissolved oxygen	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000119		175 micromole per kilogram		http://w3id.org/mixs/terms			
	dna_absorb1	260/280 measurement of DNA sample purity	https://microbiomedata/schema/jgi_metagenomics							Recommended value is between 1 and 3.						2.02					
	dna_absorb2	260/230 measurement of DNA sample purity	https://microbiomedata/schema/jgi_metagenomics							Recommended value is between 1 and 3.						2.02					
	dna_collect_site	Provide information on the site your DNA sample was collected from	https://microbiomedata/schema/jgi_metagenomics						False							untreated pond water					
	dna_concentration		https://microbiomedata/schema/jgi_metagenomics						False	Units must be in ng/uL. Enter the numerical part only. Must be calculated using a fluorometric method. Acceptable values are 0-2000.						100					
	dna_cont_type	Tube or plate (96-well)	https://microbiomedata/schema/jgi_metagenomics	dna_cont_type_enum					False							plate					
	dna_cont_well		https://microbiomedata/schema/jgi_metagenomics						False	Required when 'plate' is selected for container type. Corner wells must be blank. For partial plates, fill by columns. Leave blank if the sample will be shipped in a tube.						B2					
	dna_container_ID		https://microbiomedata/schema/jgi_metagenomics						False	Must be unique across all tubes and plates, and <20 characters. All samples in a plate should have the same plate label.						Pond_MT_041618					
	dna_dnase		https://microbiomedata/schema/jgi_metagenomics	dna_dnase_enum					False	Note DNAse treatment is required for all RNA samples.						no					
	dna_isolate_meth	Describe the method/protocol/kit used to extract DNA/RNA.	https://microbiomedata/schema/jgi_metagenomics						False							phenol/chloroform extraction					
	dna_organisms	List any organisms known or suspected to grow in co-culture, as well as estimated % of the organism in that culture.	https://microbiomedata/schema/jgi_metagenomics													expected to contain microbes (59%) fungi (30%), viruses (10%), tadpoles (1%)					
	dna_project_contact		https://microbiomedata/schema/jgi_metagenomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						John Jones					
	dna_samp_ID		https://microbiomedata/schema/jgi_metagenomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.					Removed identifier = TRUE from dna_samp_ID in JGI_sample_slots, as a class can't have two identifiers. How to force uniqueness? Moot because that column will be prefilled?	187654					
	dna_sample_format	Solution in which the DNA sample has been suspended	https://microbiomedata/schema/jgi_metagenomics	dna_sample_format_enum					False							Water					
	dna_sample_name	Give the DNA sample a name that is meaningful to you. Sample names must be unique across all JGI projects and contain a-z, A-Z, 0-9, - and _ only.	https://microbiomedata/schema/jgi_metagenomics						False							JGI_pond_041618					
	dna_seq_project		https://microbiomedata/schema/jgi_metagenomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						1191234					
	dna_seq_project_PI		https://microbiomedata/schema/jgi_metagenomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						Jane Johnson					
	dna_seq_project_name		https://microbiomedata/schema/jgi_metagenomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						JGI Pond metagenomics					
	dna_volume		https://microbiomedata/schema/jgi_metagenomics						False	Units must be in uL. Enter the numerical part only. Value must 0-1000. Values <25 by special permission only.						25					
	dnase_rna		https://microbiomedata/schema/jgi_metatranscriptomics	dnase_rna_enum					False	Note DNAse treatment is required for all RNA samples.						no					
	doi		https://microbiomedata/schema	attribute value				attribute													
study	doi	The dataset citation for this study																			
	drainage_class	Drainage classification from a standard system such as the USDA system	https://microbiomedata/schema/mixs	text value	False			attribute			drainage classification	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001085		well		http://w3id.org/mixs/terms			
	ecosystem	An ecosystem is a combination of a physical environment (abiotic factors) and all the organisms (biotic factors) that interact with this environment. Ecosystem is in position 1/5 in a GOLD path.	https://microbiomedata/schema					gold_path_field		The abiotic factors play a profound role on the type and composition of organisms in a given environment. The GOLD Ecosystem at the top of the five-level classification system is aimed at capturing the broader environment from which an organism or environmental sample is collected. The three broad groups under Ecosystem are Environmental, Host-associated, and Engineered. They represent samples collected from a natural environment or from another organism or from engineered environments like bioreactors respectively.		https://gold.jgi.doe.gov/help									
	ecosystem_category	Ecosystem categories represent divisions within the ecosystem based on specific characteristics of the environment from where an organism or sample is isolated. Ecosystem category is in position 2/5 in a GOLD path.	https://microbiomedata/schema					gold_path_field		The Environmental ecosystem (for example) is divided into Air, Aquatic and Terrestrial. Ecosystem categories for Host-associated samples can be individual hosts or phyla and for engineered samples it may be manipulated environments like bioreactors, solid waste etc.		https://gold.jgi.doe.gov/help									
	ecosystem_subtype	Ecosystem subtypes represent further subdivision of Ecosystem types into more distinct subtypes. Ecosystem subtype is in position 4/5 in a GOLD path.	https://microbiomedata/schema					gold_path_field		Ecosystem Type Marine (Environmental -> Aquatic -> Marine) is further divided (for example) into Intertidal zone, Coastal, Pelagic, Intertidal zone etc. in the Ecosystem subtype category.		https://gold.jgi.doe.gov/help									
	ecosystem_type	Ecosystem types represent things having common characteristics within the Ecosystem Category. These common characteristics based grouping is still broad but specific to the characteristics of a given environment. Ecosystem type is in position 3/5 in a GOLD path.	https://microbiomedata/schema					gold_path_field		The Aquatic ecosystem category (for example) may have ecosystem types like Marine or Thermal springs etc. Ecosystem category Air may have Indoor air or Outdoor air as different Ecosystem Types. In the case of Host-associated samples, ecosystem type can represent Respiratory system, Digestive system, Roots etc.		https://gold.jgi.doe.gov/help									
	elev	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	https://microbiomedata/schema/mixs	quantity value	False			attribute			elevation	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000093		100 meter		http://w3id.org/mixs/terms			
	env_broad_scale	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	https://microbiomedata/schema/mixs	controlled term value	False			attribute			broad-scale environmental context	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000012		oceanic epipelagic zone biome [ENVO:01000033] for annotating a water sample from the photic zone in middle of the Atlantic Ocean		http://w3id.org/mixs/terms			
biosample	env_broad_scale								True												
	env_local_scale	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.	https://microbiomedata/schema/mixs	controlled term value	False			attribute			local environmental context	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000013		litter layer [ENVO:01000338]; Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336].		http://w3id.org/mixs/terms			
biosample	env_local_scale								True												
	env_medium	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	https://microbiomedata/schema/mixs	controlled term value	False			attribute			environmental medium	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000014		soil [ENVO:00001998]; Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air [ENVO_00002005]		http://w3id.org/mixs/terms			
biosample	env_medium								True												
	env_package	MIxS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported	https://microbiomedata/schema/mixs	text value	False			attribute			environmental package	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	mixs extension					https://microbiomedata/schema/mixs			
	experimental_factor	Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI	https://microbiomedata/schema/mixs	controlled term value	False			attribute			experimental factor	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000008		time series design [EFO:EFO_0001779]		http://w3id.org/mixs/terms			
	experimental_factor_other	Other details about your sample that you feel can't be accurately represented in the available columns.	https://microbiomedata/schema/mixs_inspired									MIxS:experimental_factor|additional_info									
	extreme_event	Unusual physical events that may have affected microbial populations	https://microbiomedata/schema/mixs	timestamp value	False			attribute			history/extreme events	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000320				http://w3id.org/mixs/terms			
	fao_class	Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups	https://microbiomedata/schema/mixs	text value	False			attribute			soil_taxonomic/FAO classification	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001083		Luvisols		http://w3id.org/mixs/terms			
	filter_method	Type of filter used or how the sample was filtered	https://microbiomedata/schema/mixs_inspired									MIxS:filter_type									
	fire	Historical and/or physical evidence of fire	https://microbiomedata/schema/mixs	timestamp value	False			attribute			history/fire	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001086				http://w3id.org/mixs/terms			
	flooding	Historical and/or physical evidence of flooding	https://microbiomedata/schema/mixs	timestamp value	False			attribute			history/flooding	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000319				http://w3id.org/mixs/terms			
	gaseous_environment	Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens	https://microbiomedata/schema/mixs	quantity value	False			attribute			gaseous environment	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000558		nitric oxide;0.5 micromole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M		http://w3id.org/mixs/terms			
	geo_loc_name	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	https://microbiomedata/schema/mixs	text value	False			attribute			geographic location (country and/or sea,region)	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000010		USA: Maryland, Bethesda		http://w3id.org/mixs/terms			
	glucosidase_act	Measurement of glucosidase activity	https://microbiomedata/schema/mixs	quantity value	False			attribute			glucosidase activity	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000137		5 mol per liter per hour		http://w3id.org/mixs/terms			
